Negara,Kematian_anak,GDPperkapita,Pendapatan,label
Sierra Leone,139.375,399.0,1220.0,1
Central African Republic,139.375,446.0,888.0,1
Haiti,139.375,662.0,1500.0,1
Chad,139.375,897.0,1930.0,1
Mali,137.0,708.0,1870.0,1
Nigeria,130.0,2330.0,5150.0,1
Niger,123.0,348.0,814.0,1
Angola,119.0,3530.0,5900.0,1
"Congo, Dem. Rep.",116.0,334.0,609.0,1
Burkina Faso,116.0,575.0,1430.0,1
Guinea-Bissau,114.0,547.0,1390.0,1
Benin,111.0,758.0,1820.0,1
Cote d'Ivoire,111.0,1220.0,2690.0,1
Guinea,109.0,648.0,1190.0,1
Cameroon,108.0,1310.0,2660.0,1
Mozambique,101.0,419.0,918.0,1
Lesotho,99.7,1170.0,2380.0,1
Mauritania,97.4,1200.0,3320.0,1
Burundi,93.6,231.0,764.0,1
Pakistan,92.1,1040.0,4280.0,1
Malawi,90.5,459.0,1030.0,1
Togo,90.3,488.0,1210.0,1
Afghanistan,90.2,553.0,1610.0,1
Liberia,89.3,327.0,700.0,1
Comoros,88.2,769.0,1410.0,1
Zambia,83.1,1460.0,3280.0,1
Uganda,81.0,595.0,1540.0,1
Gambia,80.3,562.0,1660.0,1
Lao,78.9,1140.0,3980.0,1
Sudan,76.7,1480.0,3370.0,1
Ghana,74.7,1310.0,3060.0,1
Tanzania,71.9,702.0,2090.0,1
Senegal,66.8,1000.0,2180.0,1
Myanmar,64.4,988.0,3720.0,1
"Congo, Rep.",63.9,2740.0,5190.0,1
Rwanda,63.6,563.0,1350.0,1
Kiribati,62.7,1490.0,1730.0,1
Timor-Leste,62.6,3600.0,1850.0,1
Madagascar,62.2,413.0,1390.0,1
Kenya,62.2,967.0,2480.0,1
India,58.8,1350.0,4410.0,1
Yemen,56.3,1310.0,4480.0,1
Eritrea,55.2,482.0,1420.0,1
Tajikistan,52.4,738.0,2110.0,1
Bangladesh,49.4,758.0,2440.0,1
Nepal,47.0,592.0,1990.0,1
